section,set_name,draw_name,column_index,triad,vt_triad,vertical_support,horizontal_span,set_span,variant_echo,has_straight,has_vt_straight,vt_only_lane,col1_arrival,precol1_funnel,ls_col_42,ls2_lane,is_starred,star_count,is_superhot_slot,is_set1,guard_injected,score,reasons
Midday,Set1,Draw1,3,158,124,1,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,26.8,hot20|vertical1|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Midday,Set1,Draw1,3,188,24,1,7,3,3,0,1,1,0,1,0,1,1,20,0,1,0,26.8,hot20|vertical1|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Midday,Set1,Draw1,3,588,14,1,6,3,3,0,1,1,0,1,0,1,1,20,0,1,0,26.8,hot20|vertical1|funnel_precol1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Midday,Set1,Draw1,4,033,14,4,6,3,3,1,1,0,0,0,1,0,1,20,0,1,0,26.6,hot20|vertical4|ls_col_42|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw2,4,255,13,4,5,3,3,1,1,0,0,0,1,0,1,16,0,1,0,26.6,hot16|literal_draw|vertical4|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw1,4,003,14,4,4,3,3,1,1,0,0,0,1,0,1,20,0,1,0,26.6,hot20|vertical4|ls_col_42|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,4,079,135,4,7,3,3,1,1,0,0,0,1,0,1,20,0,1,0,26.6,hot20|vertical4|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw2,1,156,122,3,5,3,3,0,1,1,1,0,0,1,1,16,1,1,0,26.55,hot16|superhot_set1|vertical3|col1|ls2_lane|vt_straight|vt_only_lane|set1_bonus
Midday,Set1,Draw2,2,036,124,3,6,3,3,1,1,0,0,1,1,0,1,16,1,1,0,26.35,hot16|superhot_set1|vertical3|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw3,2,255,13,3,4,3,3,1,1,0,0,1,1,0,1,12,1,1,0,26.35,hot12|superhot_set1|literal_draw|vertical3|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw2,2,336,24,3,7,3,3,1,1,0,0,1,1,0,1,16,1,1,0,26.35,hot16|superhot_set1|vertical3|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw2,2,017,123,3,7,3,3,1,1,0,0,1,1,0,1,16,1,1,0,26.35,hot16|superhot_set1|vertical3|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw2,2,488,45,3,6,3,3,1,1,0,0,1,1,0,1,16,1,1,0,26.35,hot16|superhot_set1|vertical3|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Midday,Set1,Draw2,2,133,24,3,6,1,3,1,1,0,0,1,1,0,1,16,1,1,0,26.35,hot16|superhot_set1|vertical3|funnel_precol1|ls_col_42|vt_straight|straight_lane|set1_bonus
Evening,Set3,Draw1,3,134,245,3,1,3,3,1,1,0,0,1,0,0,1,16,0,0,0,26.35,hot16|literal_draw|vertical3|funnel_precol1|vt_straight|straight_lane
Evening,Set2,Draw1,3,666,2,3,1,3,2,1,1,0,0,1,0,0,1,16,0,0,0,26.35,hot16|literal_draw|vertical3|funnel_precol1|vt_straight|straight_lane
Evening,Set1,Draw1,3,002,13,2,5,3,3,1,0,0,0,1,0,1,1,20,0,1,0,26.35,hot20|vertical2|funnel_precol1|ls2_lane|straight_lane|set1_bonus
Evening,Set1,Draw1,3,023,134,2,5,3,3,1,0,0,0,1,0,1,1,20,0,1,0,26.35,hot20|vertical2|funnel_precol1|ls2_lane|straight_lane|set1_bonus
Evening,Set1,Draw1,3,007,13,2,7,3,3,1,0,0,0,1,0,1,1,20,0,1,0,26.35,hot20|vertical2|funnel_precol1|ls2_lane|straight_lane|set1_bonus
Evening,Set1,Draw1,3,037,134,2,7,3,3,1,0,0,0,1,0,1,1,20,0,1,0,26.35,hot20|vertical2|funnel_precol1|ls2_lane|straight_lane|set1_bonus
Combined,Set3,Draw1,2,255,13,2,1,3,3,1,1,0,0,1,1,0,1,16,0,0,0,26.25,hot16|literal_draw|vertical2|funnel_precol1|ls_col_42|vt_straight|straight_lane
Combined,Set2,Draw1,2,226,23,2,1,3,3,1,1,0,0,1,1,0,1,16,0,0,0,26.25,hot16|literal_draw|vertical2|funnel_precol1|ls_col_42|vt_straight|straight_lane
