section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set2,Draw1,5,299,straight,16.0,"R2,R6",False,True,False,False,False,False,False,False,False,0,1,0,4,992,2,31,False,4,4,0,0.0,5,0,0,0,0,0.0,0,0.0,0,2,0,2,1,1,True,straight|cov2|hp_repeat4|vstr2|double_mirror|set_chain2
Evening,Set2,Draw1,5,249,straight,16.0,"R2,R6",True,True,False,False,False,False,False,False,False,0,1,0,4,924,2,31,False,4,4,0,0.0,5,0,0,0,1,0.0,0,0.0,0,2,0,2,1,0,False,straight|cov2|hp_repeat4|vstr2|mirror|set_chain2
Evening,Set2,Draw1,4,1124699,boxed,16.0,"R2,R8",True,False,False,False,False,False,False,False,False,1,2,0,2,9924116,1,22,False,4,2,1,0.0,1,0,0,1,1,0.0,4,0.0,0,2,0,2,1,0,False,boxed|cov2|hp_repeat2|mirror|hot1|perm2|set_chain2
Evening,Set2,Draw1,3,245,boxed,16.0,"R2,R6,R8",False,True,False,False,False,False,False,False,False,1,2,0,3,524,2,12,False,6,3,1,0.0,3,0,0,1,0,0.0,0,0.0,0,2,0,2,1,0,False,boxed|cov3|hp_repeat3|vstr2|hot1|perm2|set_chain2
Evening,Set2,Draw1,7,117,boxed,16.0,"R4,R6,R8",False,True,False,False,False,False,False,False,False,0,2,0,1,711,2,17,False,6,1,1,0.0,3,0,0,0,0,0.0,0,0.0,0,4,0,3,1,1,True,boxed|cov3|vstr2|perm2|double_mirror|set_chain3
Evening,Set2,Draw1,3,1156,straight,16.0,R6,True,False,False,False,False,False,False,False,False,1,1,0,4,6115,1,6,False,2,4,0,0.0,3,0,0,1,1,0.0,1,0.0,2,2,0,2,1,0,False,straight|cov1|hp_repeat4|mirror|hot1|vtrac_straight|set_chain2
Evening,Set2,Draw1,3,115,straight,16.0,R6,False,False,False,False,False,False,False,False,False,1,1,0,5,115,1,6,False,2,5,0,0.0,3,0,0,1,0,0.0,0,0.0,2,2,0,2,1,1,True,straight|cov1|hp_repeat5|hot1|double_mirror|vtrac_straight|set_chain2
Evening,Set2,Draw1,2,1156,straight,16.0,R6,True,False,False,False,False,False,False,False,False,1,1,0,4,6115,1,6,False,2,4,0,0.0,3,0,0,1,1,0.0,1,0.0,2,2,0,2,1,0,False,straight|cov1|hp_repeat4|mirror|hot1|vtrac_straight|set_chain2
Evening,Set2,Draw1,2,115,straight,16.0,R6,False,False,False,False,False,False,False,False,False,1,1,0,5,115,1,6,False,2,5,0,0.0,3,0,0,1,0,0.0,0,0.0,2,2,0,2,1,1,True,straight|cov1|hp_repeat5|hot1|double_mirror|vtrac_straight|set_chain2
Evening,Set1,Draw1,6,245599,straight,16.0,"R2,R6",True,True,False,False,False,False,False,False,False,0,1,0,3,559924,2,12,False,4,3,0,0.0,5,0,0,0,1,0.0,3,0.0,0,0,0,1,1,0,False,straight|cov2|hp_repeat3|vstr2|mirror
