section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Midday,Set1,Draw6,1,266,straight,8.0,R8,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,245,straight,8.0,R8,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,246,straight,8.0,R8,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,139,straight,8.0,R8,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw7,1,13667,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw7,1,24459,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw7,1,05669,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw7,1,23449,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw7,1,13669,straight,8.0,R8,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set3,Draw1,7,368,boxed,7.0,"R2,R4",True,False,False,False,False,False,False,False,False,0,boxed|cov2|mirror
Combined,Set3,Draw1,7,6778,boxed,7.0,"R2,R6",False,False,False,False,False,False,False,False,False,0,boxed|cov2
Combined,Set3,Draw1,7,0338,straight,7.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set3,Draw1,7,2249,straight,7.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set3,Draw1,7,677,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,7,3678,straight,7.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set3,Draw1,6,367,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,6,0336,boxed,7.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,boxed|cov2
Combined,Set3,Draw1,6,3367,boxed,7.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,boxed|cov2
