kind,role,state,period,result,path,bytes,sha256
SOURCE,aux_core_post_result_json,Pennsylvania4,Evening,966,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Pennsylvania4/AUX_CORE__Evening__966__POST_RESULT.json,8057,431464d4d3af2546b46eaaf2c92f9e312c98f5ed62e5a9ed3184793d937efff7
SOURCE,aux_core_pre_result_md,Pennsylvania4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Pennsylvania4/AUX_CORE__FULL_PRE_RESULT.md,44940,062429058256af8b76c03dfa1d6eadf71b19a2f78f5f373ba4fc107e5bdfa7d4
SOURCE,aux_core_post_result_md,Pennsylvania4,Midday,040,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Pennsylvania4/AUX_CORE__Midday__040.md,22970,ae97a3d07a9c0e083757133ca17e3004aa3eae4698acf0e30271e923c429f5b0
SOURCE,aux_core_post_result_json,Pennsylvania4,Midday,040,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Pennsylvania4/AUX_CORE__Midday__040__POST_RESULT.json,53280,3e577aaf60fe2345da99cf942720f1e05d8b55efc61b04ef40ffd3bf1a340769
SOURCE,aux_core_pre_result_json,Pennsylvania4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Pennsylvania4/AUX_CORE__PRE_RESULT.json,3074166,eae309146b1551a7bba44443977e9ab03f5f5b7748ebe5d6db491f6a47afccb6
SOURCE,aux_core_post_result_md,PuertoRico4,Evening,419,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/PuertoRico4/AUX_CORE__Evening__419.md,20219,1b7fa04342dfa4ff20fd3ea39504d82f20de13ad2dd5e56490bc417d39f255a3
SOURCE,aux_core_post_result_json,PuertoRico4,Evening,419,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/PuertoRico4/AUX_CORE__Evening__419__POST_RESULT.json,17567,e248a0377fcf39556c70fda772e6d73548126b1d911e462128c3b104d2c2beb1
SOURCE,aux_core_pre_result_md,PuertoRico4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/PuertoRico4/AUX_CORE__FULL_PRE_RESULT.md,45115,7271af3b4c1c58e55d1795af573050c0c297912366c6477a691c149ae9b83b4b
SOURCE,aux_core_post_result_md,PuertoRico4,Midday,887,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/PuertoRico4/AUX_CORE__Midday__887.md,19653,8ca3c2877aa5a5c3cadc13003085b5039936795d23adcf3ef93d9b1b9e48e271
SOURCE,aux_core_post_result_json,PuertoRico4,Midday,887,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/PuertoRico4/AUX_CORE__Midday__887__POST_RESULT.json,8998,cfe293924d81d5d9f8054ef1c36218b658c3f8d62f82de9532f163af5ed08a61
