section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Midday,Set1,Draw1,5,20,1,1,0.0,3,1.0,False,False,False,False,False,False,False,3,3,3,3,0,2,0,0,226:1;2266:1,622:1;6622:1,2,3,0,0.0,0,1,0,0,0,0,0.0,1,6,0,1,0.0,14.0,38.0,1,True,False
Midday,Set1,Draw6,2,12,2,1,0.0,2,0.0,False,False,False,False,False,True,True,1,3,1,3,4,0,0,0,005579:1;0055799:1;0079:1,700559:1;7005599:1;7009:1,4,2,0,0.0,0,0,0,0,0,1,0.5,0,2,4,0,0.0,13.5,58.5,3,False,False
Midday,Set1,Draw4,3,12,2,1,0.0,2,0.0,False,False,False,False,False,True,True,2,1,2,1,4,0,0,0,0579:1;05799:1;0799:1,7059:1;70599:1;7099:1,4,2,0,0.0,0,0,0,0,0,1,0.5,0,2,4,0,0.0,13.5,58.5,3,False,False
Evening,Set3,Draw1,7,20,1,1,0.0,1,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,226:1,622:1,2,1,0,0.0,0,0,0,0,0,0,0.0,1,4,4,1,0.0,13.0,38.0,3,True,False
Midday,Set2,Draw1,4,20,1,1,0.0,4,1.0,False,False,False,False,False,False,False,3,1,3,1,0,1,0,0,226:1,622:1,2,4,0,0.0,0,1,0,0,0,0,0.0,1,4,0,1,0.0,13.0,38.0,1,True,False
Evening,Set1,Draw5,2,20,1,1,0.0,2,1.0,False,False,False,False,False,True,False,3,2,3,2,0,0,1,0,226:1,622:1,2,2,0,0.0,0,1,0,0,0,1,0.0,1,5,1,0,0.0,13.0,38.0,2,False,False
Combined,Set1,Draw2,6,12,2,1,0.0,2,0.0,False,False,False,False,False,False,True,1,3,1,3,4,0,0,0,0055799:1;005579:1;00799:1,7005599:1;700559:1;70099:1,4,2,0,0.0,0,0,0,0,0,0,0.5,0,2,4,0,0.0,12.5,58.5,3,False,False
Combined,Set1,Draw2,5,12,2,1,0.0,2,0.0,False,False,False,False,False,False,True,1,3,1,3,5,0,0,0,0055799:1;005579:1;00455799:1,7005599:1;700559:1;70055994:1,4,2,0,0.0,0,0,0,0,0,0,0.5,0,2,4,0,0.0,12.5,58.5,3,False,False
Midday,Set1,Draw5,3,12,2,1,0.0,1,0.0,False,False,False,False,False,True,True,1,3,1,3,4,0,0,0,005579:1;0055799:1;0079:1,700559:1;7005599:1;7009:1,4,1,0,0.0,0,0,0,0,0,1,0.5,0,2,4,0,0.0,12.5,58.5,3,False,False
Evening,Set1,Draw5,3,20,1,1,0.0,2,0.0,False,False,False,False,False,True,False,3,2,3,2,0,0,0,0,226:1,622:1,2,2,0,0.0,0,0,0,0,0,1,0.0,1,5,1,0,0.0,12.0,38.0,2,False,False
