section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why,family_id,is_exact_straight
Combined,Set1,Draw1,7,34688,straight,9.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,68834,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw1,6,0035,straight,9.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,0053,1.0,straight|cov1|span2|mirror,4,False
Combined,Set1,Draw1,5,035,straight,9.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,053,1.0,straight|cov1|span2|mirror|hot1,4,False
Combined,Set1,Draw1,5,0088,straight,9.0,R8,False,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,0088,1.0,straight|cov1|span2|hot1,4,False
Combined,Set1,Draw2,6,0035,straight,9.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,0053,1.0,straight|cov1|span2|mirror,4,False
Combined,Set1,Draw2,6,0335,straight,9.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,0533,1.0,straight|cov1|span2|mirror,4,False
Combined,Set1,Draw2,5,0035,straight,9.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,0053,1.0,straight|cov1|span2|mirror,4,False
Combined,Set1,Draw2,5,0335,straight,9.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,0533,1.0,straight|cov1|span2|mirror,4,False
Combined,Set1,Draw3,5,00335,straight,9.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,00533,1.0,straight|cov1|mirror,4,False
Combined,Set1,Draw4,2,689,boxed,9.0,"R4,R8",False,False,False,False,False,False,False,False,False,2,2.0,0.0,1.0,968,1.0,boxed|cov2|hot2|perm2,24,False
Combined,Set1,Draw4,4,13889,straight,9.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,19883,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw5,2,689,boxed,9.0,"R4,R8",False,False,False,False,False,False,False,False,False,2,2.0,0.0,1.0,968,1.0,boxed|cov2|hot2|perm2,24,False
Combined,Set3,Draw1,7,1189,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,1198,1.0,straight|cov1|span2,24,False
Combined,Set3,Draw1,7,3689,straight,8.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,9836,1.0,straight|cov1|mirror,24,False
Combined,Set3,Draw1,6,1189,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,1198,1.0,straight|cov1|span2,24,False
Combined,Set2,Draw1,6,1389,straight,8.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,1983,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw2,6,346,boxed,8.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,436,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw2,5,346,boxed,8.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,436,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw2,6,369,boxed,8.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,963,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw2,5,369,boxed,8.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,963,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw3,5,3446,boxed,8.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,4436,1.0,boxed|cov2|perm2,24,False
Combined,Set1,Draw4,4,468,boxed,8.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,486,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw4,3,468,boxed,8.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,486,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw4,3,689,boxed,8.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,968,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw4,3,4689,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,9684,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw4,4,6899,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,9986,1.0,straight|cov1|span2,24,False
Combined,Set3,Draw1,7,189,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,198,1.0,straight|cov1|span3,24,False
Combined,Set3,Draw1,6,189,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,198,1.0,straight|cov1|span3,24,False
Combined,Set3,Draw1,5,189,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,198,1.0,straight|cov1|span3,24,False
Combined,Set2,Draw1,7,1889,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,1988,1.0,straight|cov1|span2,24,False
